Canonical	Mappable	Mapped	Names	Description	Link
gorgoroth	1	1	Gorgoroth / Ered Gorgoroth	The Mountains of Terror	http://www.glyphweb.com/arda/e/eredgorgoroth.html
gorgoroth	1	1	Gorgoroth / Plateau of Gorgoroth	The wasted uplands of Mordor	http://www.glyphweb.com/arda/p/plateauofgorgoroth.html
gundabad	1	1	Gundabad / Mount Gundabad	Capital of the northern Goblins	http://www.glyphweb.com/arda/m/mountgundabad.html
gwathlo	1	1	Agathurush	The River Gwathló	http://www.glyphweb.com/arda/a/agathurush.html
gwathlo	1	1	Gwathir	The original name for the Gwathló	http://www.glyphweb.com/arda/g/gwathir.html
gwathlo	1	1	Gwathló / River Gwathló	The Elves name for the Greyflood	http://www.glyphweb.com/arda/g/gwathlo.html
gwathlo	1	1	Greyflood / River Greyflood	The southern border-river of Eriador	http://www.glyphweb.com/arda/g/greyflood.html
haradwaith	1	1	Harad		http://www.glyphweb.com/arda/h/harad.html
haradwaith	1	1	Sunlands		http://www.glyphweb.com/arda/s/sunlands.html
haradwaith	1	1	Haradwaith		http://www.glyphweb.com/arda/h/haradwaith.html
harithilien	1	1	South Ithilien		http://www.glyphweb.com/arda/s/southithilien.html
harlindon	1	1	Harlindon		http://www.glyphweb.com/arda/h/harlindon.html
harlond	1	1	"Harlond / Harlond in Gondor / Harlond, Gondor"	The port of Minas Tirith	http://www.glyphweb.com/arda/h/harlond.html
harlond	1	1	"Harlond / Harlond in Lindon / Harlond, Lindon"	A haven on the Gulf of Lhûn	http://www.glyphweb.com/arda/h/harlondlindon.html
harnen	1	1	Harnen / River Harnen	Gondors boundary with Near Harad	http://www.glyphweb.com/arda/h/harnen.html
harondor	1	1	Harondor		http://www.glyphweb.com/arda/h/harondor.html
harondor	1	1	South Gondor		http://www.glyphweb.com/arda/s/southgondor.html
hartofn	1	1	South Undeep	The southern loop in Anduin's course	http://www.glyphweb.com/arda/s/southundeep.html
haudh-in-gwanur	1	1	Haudh in Gwanúr / Haudh in Gwanur	The grave-mound of Folcred and Fastred	http://www.glyphweb.com/arda/h/haudhingwanur.html
helevorn	1	1	Helevorn / Lake Helevorn	The cold lake beneath Mount Rerir	http://www.glyphweb.com/arda/h/helevorn.html
himling	1	1	Himling	An island off the northern coasts of Middle-earth	http://www.glyphweb.com/arda/h/himling.html
hithaeglir	1	1	Hithaeglir	The misty peaks of central Middle-earth	http://www.glyphweb.com/arda/h/hithaeglir.html
hithaeglir	1	1	Misty Mountains	The Backbone of Middle-earth	http://www.glyphweb.com/arda/m/mistymountains.html
hithaeglir	1	1	Mountains of Mist	The Misty Mountains of the Hithaeglir	http://www.glyphweb.com/arda/m/mountainsofmist.html
i-drann	1	1	Galabas	A village-name from the Shire	http://www.glyphweb.com/arda/g/galabas.html
i-drann	1	1	Folklands		http://www.glyphweb.com/arda/f/folklands.html
i-drann	1	1	Land of the Halflings		http://www.glyphweb.com/arda/l/landofthehalflings.html
i-drann	1	1	The Shire		http://www.glyphweb.com/arda/s/shire.html
i-drann	1	1	Hobbit-lands		http://www.glyphweb.com/arda/h/hobbitlands.html
i-drann	1	1	Sûza		http://www.glyphweb.com/arda/s/suza.html
iant-vedui	1	1	Bridge of Mitheithel	The Last Bridge across the Hoarwell	http://www.glyphweb.com/arda/b/bridgeofmitheithel.html
iant-vedui	1	1	Last Bridge	The Bridge of Mitheithel	http://www.glyphweb.com/arda/l/lastbridge.html
imlad	1	1	Dale	The township of Men beneath the Lonely Mountain	http://www.glyphweb.com/arda/d/dale.html
imlad-thol	1	1	Helm’s Deep / Helm's Deep	A refuge of the Rohirrim	http://www.glyphweb.com/arda/h/helmsdeep.html
imladnur	1	1	Deeping-coomb	The valley that led to Helms Deep	http://www.glyphweb.com/arda/d/deepingcoomb.html
imladris	1	1	First Homely House	Elronds house at Rivendell	http://www.glyphweb.com/arda/f/firsthomelyhouse.html
imladris	1	1	Imladris	The haven of Elrond	http://www.glyphweb.com/arda/i/imladris.html
imladris	1	1	Karningul	The Westron name for Rivendell	http://www.glyphweb.com/arda/k/karningul.html
imladris	1	1	Last Homely House	The House of Elrond at Rivendell	http://www.glyphweb.com/arda/l/lasthomelyhouse.html
imladris	1	1	Rivendell	The Last Homely House	http://www.glyphweb.com/arda/r/rivendell.html
imrath-gondraich	1	1	Stonewain Valley	The ancient way of the quarrymen of Gondor	http://www.glyphweb.com/arda/s/stonewainvalley.html
in-emyn	1	1	Barrows	The mounds of Tyrn Gorthad	http://www.glyphweb.com/arda/b/barrows.html
in-emyn	1	1	Tyrn Gorthad	The Barrow-downs	http://www.glyphweb.com/arda/t/tyrngorthad.html
irensaga	1	1	Irensaga	A series of peaks in the White Mountains	http://www.glyphweb.com/arda/i/irensaga.html
khand	1	1	Khand		http://www.glyphweb.com/arda/k/khand.html
lamedon	1	1	Lamedon		http://www.glyphweb.com/arda/l/lamedon.html
lebennin	1	1	Land of Seven Rivers		http://www.glyphweb.com/arda/l/landofsevenrivers.html
lebennin	1	1	Lebennin		http://www.glyphweb.com/arda/l/lebennin.html
lefnui	1	1	Lefnui	A winding river of western Gondor	http://www.glyphweb.com/arda/l/lefnui.html
lhun	1	1	Lhún / River Lhûn	The river that flowed into the Gulf of Lhûn	http://www.glyphweb.com/arda/l/lhun.html
lhun	1	1	Lune	The Hobbits name for the Lhûn	http://www.glyphweb.com/arda/l/lune.html
limlight	1	1	Limlaith	The Elves name for the river otherwise called the Limlight	http://www.glyphweb.com/arda/l/limlaith.html
limlight	1	1	Limlich	An Elvish name for the River Limlight	http://www.glyphweb.com/arda/l/limlich.html
limlight	1	1	Limlight	A river flowing out of northern Fangorn	http://www.glyphweb.com/arda/l/limlight.html
limlight	1	1	Limliht	A variation on the name Limlight	http://www.glyphweb.com/arda/l/limliht.html
limlight	1	1	Limlint	An early name for the Limlight	http://www.glyphweb.com/arda/l/limlint.html
linhir	1	1	Linhir	A township on the River Gilrain	http://www.glyphweb.com/arda/l/linhir.html
lithlad	1	1	Lithlad	Mordors northern plain of ash	http://www.glyphweb.com/arda/l/lithlad.html
lo	1	1	Midgewater Marshes	The marshland east of the Chetwood	http://www.glyphweb.com/arda/m/midgewater.html
lo-fern	1	1	Dead Marshes	The haunted marshlands beside the Battle Plain	http://www.glyphweb.com/arda/d/deadmarshes.html
loeg-ningloron	1	1	Loeg Ningloron	The resting-place of the Ring	http://www.glyphweb.com/arda/l/loegningloron.html
lond-daer	1	1	Lond Daer	The  Númenórean port on the Gwathló	http://www.glyphweb.com/arda/l/londdaer.html
lond-dear	1	1	Lond Daer Enedh	The Great Middle Haven	http://www.glyphweb.com/arda/l/londdaerenedh.html
lond-umbar	1	1	"Haven of Umbar / Umbar, Haven of"	The seaport of the Corsairs	http://www.glyphweb.com/arda/h/havenofumbar.html
lossarnach	1	1	Arnach	The flowery vale west of Minas Tirith	http://www.glyphweb.com/arda/a/arnach.html
lossarnach	1	1	Lossarnach		http://www.glyphweb.com/arda/l/lossarnach.html
lossir	1	1	Snowbourn River	The river that flowed out of Harrowdale	http://www.glyphweb.com/arda/s/snowbourn.html
lothlorien	1	1	Dwimordene	Galadriels magical land	http://www.glyphweb.com/arda/d/dwimordene.html
lothlorien	1	1	Golden Wood	The forest of the golden mallorn trees	http://www.glyphweb.com/arda/g/goldenwood.html
lothlorien	1	1	"Lórien, Middle-earth"		http://www.glyphweb.com/arda/l/lorien.html
lothlorien	1	1	Lothlórien		http://www.glyphweb.com/arda/l/lothlorien.html
lothlorien	1	1	Dreamflower		http://www.glyphweb.com/arda/d/dreamflower.html
men-eryn-iaur	1	1	Dwarf-road of Mirkwood	The long east-west road beneath the trees of Mirkwood	http://www.glyphweb.com/arda/d/dwarfroadofmirkwood.html
men-eryn-iaur	1	1	Men-i-Naugrim	The Dwarf-road that ran through Mirkwood	http://www.glyphweb.com/arda/m/meninaugrim.html
men-eryn-iaur	1	1	Old Forest Road	The east-west road that led through Greenwood the Great	http://www.glyphweb.com/arda/o/oldforestroad.html
men-harad	1	1	Harad Road	The road that ran south out of Ithilien	http://www.glyphweb.com/arda/h/haradroad.html
men-rhun-annui	1	1	East Road	The road that led from the Shire out into Eriador	http://www.glyphweb.com/arda/e/eastroad.html
men-rhun-annui	1	1	East-West Road	The road that crossed Eriador from west to east	http://www.glyphweb.com/arda/e/eastwestroad.html
men-rhun-annui	1	1	Great Road (west to east)	The East-West Road of Eriador	http://www.glyphweb.com/arda/g/greatroad1.html
menion-rhun-annui	1	1	Old Road	The road running east through Eriador	http://www.glyphweb.com/arda/o/oldroad.html
methedras	1	1	Methedras	The last peak of the Misty Mountains	http://www.glyphweb.com/arda/m/methedras.html
min-rimmon	1	1	Min-Rimmon	Beacon-hill of Gondor	http://www.glyphweb.com/arda/m/minrimmon.html
minas-morgul	1	1	Minas Morgul	The Tower of Sorcery	http://www.glyphweb.com/arda/m/minasmorgul.html
minas-morgul	1	1	Moontower	A name for the tower of Minas Ithil	http://www.glyphweb.com/arda/m/moontower.html
minas-morgul	1	1	Tower of Sorcery	A dark name for Minas Morgul	http://www.glyphweb.com/arda/t/towerofsorcery.html
minas-morgul	1	1	Tower of the Moon	The tower of Minas Ithil	http://www.glyphweb.com/arda/t/towerofthemoon.html
minas-morgul	1	1	Tower of the Rising Moon	Minas Ithil beneath the Ephel Dúath	http://www.glyphweb.com/arda/t/toweroftherisingmoon.html
minas-morgul	1	1	Minas Ithil	Isildur's Tower of the Moon	http://www.glyphweb.com/arda/m/minasithil.html
minas-tirith	1	1	Minas Anor	The Tower of the Setting Sun	http://www.glyphweb.com/arda/m/minasanor.html
minas-tirith	1	1	"Minas Tirith / Minas Tirith, Gondor"	Gondor's Tower of Guard	http://www.glyphweb.com/arda/m/minastirith.html
minas-tirith	1	1	Mundburg	A name for Minas Tirith	http://www.glyphweb.com/arda/m/mundburg.html
minas-tirith	1	1	Tower of Guard	A name for Minas Tirith	http://www.glyphweb.com/arda/t/towerofguard.html
minas-tirith	1	1	Tower of the Setting Sun	A name for Minas Anor	http://www.glyphweb.com/arda/t/towerofthesettingsun.html
minas-tirith	1	1	Tower of the Sun	The city that would become Minas Tirith	http://www.glyphweb.com/arda/t/towerofthesun.html
minas-tirith	1	1	White Tower	The Tower of Minas Tirith	http://www.glyphweb.com/arda/w/whitetower.html
minas-tirith	1	1	City of Gondor	Minas Tirith beneath Mindolluin	http://www.glyphweb.com/arda/c/cityofgondor.html
minas-tirith	1	1	Hill of Guard	The hill of Minas Tirith	http://www.glyphweb.com/arda/h/hillofguard.html
mindolluin	1	1	Mindolluin / Mount Mindolluin	Easternmost of the White Mountains	http://www.glyphweb.com/arda/m/mindolluin.html
mitheithel	1	1	Hoarwell / River Hoarwell	The northern river also called Mitheithel	http://www.glyphweb.com/arda/h/hoarwell.html
mitheithel	1	1	Mitheithel	The northern river Men called the Hoarwell	http://www.glyphweb.com/arda/m/mitheithel.html
mithlond	1	1	Grey Havens	The havens at the mouth of the Lhûn	http://www.glyphweb.com/arda/g/greyhavens.html
mithlond	1	1	Mithlond	The Grey Havens	http://www.glyphweb.com/arda/m/mithlond.html
mithnen	1	1	Greylin / River Greylin	One of the Anduins two source-rivers	http://www.glyphweb.com/arda/g/greylin.html
morannon	1	1	Black Gate	The gate that guarded the northwestern entrance to Mordor	http://www.glyphweb.com/arda/b/blackgate.html
morannon	1	1	Gate of Mordor	The gate across the Haunted Pass	http://www.glyphweb.com/arda/g/gateofmordor.html
morannon	1	1	Gates of Mordor	Sauron's Black Gate	http://www.glyphweb.com/arda/g/gatesofmordor.html
morannon	1	1	Morannon	The Black Gate	http://www.glyphweb.com/arda/m/morannon.html
morannon	1	1	Towers of the Teeth	The twin guardians of Mordor	http://www.glyphweb.com/arda/t/towersoftheteeth.html
mordor	1	1	Dark Land		http://www.glyphweb.com/arda/d/darkland.html
mordor	1	1	Mordor		http://www.glyphweb.com/arda/m/mordor.html
moria	1	1	Black Chasm	The darkness of Moria	http://www.glyphweb.com/arda/b/blackchasm.html
moria	1	1	Black Pit	A name for Moria	http://www.glyphweb.com/arda/b/blackpit.html
moria	1	1	Khazad-dúm / Khazad-dûm	The Mansions of Durin and his Kin	http://www.glyphweb.com/arda/k/khazaddum.html
moria	1	1	Moria	The Black Chasm	http://www.glyphweb.com/arda/m/moria.html
moria	1	1	Hadhodrond	The Elvish rendering of Khazad-dûm	http://www.glyphweb.com/arda/h/hadhodrond.html
moria	1	1	Mines of Moria	The Dwarf-delvings of Khazad-dûm	http://www.glyphweb.com/arda/m/minesofmoria.html
moria	1	1	Phurunargian	The Westron name of Khazad-dûm	http://www.glyphweb.com/arda/p/phurunargian.html
mornorod	1	1	Dwimorberg	The Haunted Mountain	http://www.glyphweb.com/arda/d/dwimorberg.html
mornorod	1	1	Haunted Mountain	The domain of the Dead	http://www.glyphweb.com/arda/h/hauntedmountain.html
morthond	1	1	Blackroot	The river that rose above Erech	http://www.glyphweb.com/arda/b/blackroot.html
nanduhirion	1	1	Dimrill Dale	The valley of Nanduhirion	http://www.glyphweb.com/arda/d/dimrilldale.html
nanduhirion	1	1	Azanulbizar	The deep-shadowed valley of the Dimrill Dale	http://www.glyphweb.com/arda/a/azanulbizar.html
nanduhirion	1	1	Nanduhirion	The Dimrill Dale	http://www.glyphweb.com/arda/n/nanduhirion.html
narchost	1	1	Narchost	One of the two Towers of the Teeth	http://www.glyphweb.com/arda/n/narchost.html
nardol	1	1	Nardol	The third of the Beacons of Gondor	http://www.glyphweb.com/arda/n/nardol.html
near-harad	1	1	Near Harad		http://www.glyphweb.com/arda/n/nearharad.html
nen-cenedril	1	1	Kheled-zâram	The shimmering Mirrormere	http://www.glyphweb.com/arda/k/kheledzaram.html
nen-cenedril	1	1	Mirrormere	The hallowed lake of Kheled-zâram	http://www.glyphweb.com/arda/m/mirrormere.html
nen-hithoel	1	1	Nen Hithoel	The great lake that fed the Falls of Rauros	http://www.glyphweb.com/arda/n/nenhithoel.html
nenuial	1	1	Evendim / Lake Evendim	The lake on which Annúminas stood	http://www.glyphweb.com/arda/l/lakeevendim.html
nenuial	1	1	Nenuial	Lake Evendim	http://www.glyphweb.com/arda/n/nenuial.html
nenuial	1	1	Evendim		http://www.glyphweb.com/arda/e/evendim.html
nimrodel	1	1	"Nimrodel / Nimrodel, River"	The river of the lost Elf-maiden	http://www.glyphweb.com/arda/n/nimrodelriver.html
nin-in-eilph	1	1	Nîn-in-Eilph	The marshland region known as Swanfleet	http://www.glyphweb.com/arda/n/ninineilph.html
nin-in-eilph	1	1	Swanfleet	The great marshlands of the River Glanduin	http://www.glyphweb.com/arda/s/swanfleet.html
nindalf	1	1	Nindalf	The Wetwang marshes beneath the Emyn Muil	http://www.glyphweb.com/arda/n/nindalf.html
nindalf	1	1	Wetwang	The great marshland beneath the Emyn Muil	http://www.glyphweb.com/arda/w/wetwang.html
nurn	1	1	Nurn		http://www.glyphweb.com/arda/n/nurn.html
nurnen	1	1	Núrnen / Lake Núrnen	Mordors inland sea	http://www.glyphweb.com/arda/l/lakenurnen.html
nurnen	1	1	Núrnen / Sea of Núrnen	Mordors great inland sea	http://www.glyphweb.com/arda/s/seaofnurnen.html
onodlo	1	1	Entwash / River Entwash	The broad river that flowed out of Fangorn	http://www.glyphweb.com/arda/e/entwash.html
onodlo	1	1	Onodló	The ancient Elvish name for the Entwash	http://www.glyphweb.com/arda/o/onodlo.html
orod-gram	1	1	Gram / Mount Gram	The domain of Golfimbul	http://www.glyphweb.com/arda/m/mountgram.html
orodruin	1	1	Amon Amarth	The literal translation of Mount Doom	http://www.glyphweb.com/arda/a/amonamarth.html
orodruin	1	1	Fiery Mountain	The flaming peak of Orodruin	http://www.glyphweb.com/arda/f/fierymountain.html
orodruin	1	1	Fire-mountain	A name for Orodruin	http://www.glyphweb.com/arda/f/firemountain.html
orodruin	1	1	Mount Doom	The Fire-mountain of Orodruin	http://www.glyphweb.com/arda/m/mountdoom.html
orodruin	1	1	Mountain of Fire	Orodruin in the heart of Mordor	http://www.glyphweb.com/arda/m/mountainoffire.html
orodruin	1	1	Orodruin	Mount Doom	http://www.glyphweb.com/arda/o/orodruin.html
orthanc	1	1	Mount Fang	A name for the tower of Orthanc	http://www.glyphweb.com/arda/m/mountfang.html
orthanc	1	1	Orthanc	The unbreachable tower within the Ring of Isengard	http://www.glyphweb.com/arda/o/orthanc.html
orthanc	1	1	Tower of Orthanc	Stronghold of Saruman	http://www.glyphweb.com/arda/t/toweroforthanc.html
osgiliath	1	1	Osgiliath	The ancient capital of Gondor	http://www.glyphweb.com/arda/o/osgiliath.html
ost-in-edhil	1	1	Ost-in-Edhil	The city of the Elves of Eregion	http://www.glyphweb.com/arda/o/ostinedhil.html
parth-celebrant	1	1	Field of Celebrant	The site of Eorls great victory	http://www.glyphweb.com/arda/f/fieldofcelebrant.html
parth-celebrant	1	1	Parth Celebrant	The southern lands of old Lórien	http://www.glyphweb.com/arda/p/parthcelebrant.html
parth-galen	1	1	Parth Galen	The green lawn beneath Amon Hen	http://www.glyphweb.com/arda/p/parthgalen.html
pelargir	1	1	Pelargir	Haven of the Kings of Gondor	http://www.glyphweb.com/arda/p/pelargir.html
pelennor	1	1	Pelennor Fields / Pelennor	The fields and townlands of Minas Tirith	http://www.glyphweb.com/arda/p/pelennor.html
pendlanthir	1	1	Stair Falls	The falls of the Sirannon	http://www.glyphweb.com/arda/s/stairfalls.html
perth-ninglor	1	1	Gladden Fields	The fields at the mouth of the Gladden River	http://www.glyphweb.com/arda/g/gladdenfields.html
pinnath-gelin	1	1	Green Hills of Gondor	Pinnath Gelin in western Gondor	http://www.glyphweb.com/arda/g/greenhillsgondor.html
pinnath-gelin	1	1	Pinnath Gelin	The Green Hills of western Gondor	http://www.glyphweb.com/arda/p/pinnathgelin.html
poros	1	1	Poros / River Poros	The southern border-river of Ithilien	http://www.glyphweb.com/arda/p/poros.html
rhimdath	1	1	Rushdown / River Rushdown	A northern tributary of the Anduin	http://www.glyphweb.com/arda/r/rushdown.html
rhosgobel	1	1	Rhosgobel	Radagasts dwelling on the edge of Mirkwood	http://www.glyphweb.com/arda/r/rhosgobel.html
rhovanion	1	1	Wilderland		http://www.glyphweb.com/arda/w/wilderland.html
rhovanion	1	1	Rhovanion		http://www.glyphweb.com/arda/r/rhovanion.html
rhudaur	1	1	Rhudaur		http://www.glyphweb.com/arda/r/rhudaur.html
rhun	1	1	Rhún / Sea of Rhûn	The eastern inland sea of Middle-earth	http://www.glyphweb.com/arda/s/seaofrhun.html
rhun	1	1	Rhûn		http://www.glyphweb.com/arda/r/rhun.html
ringlo	1	1	Ringló / River Ringló	A river of southern Gondor	http://www.glyphweb.com/arda/r/ringlo.html
rivendell	1	1	House of Elrond	The refuge of Rivendell	http://www.glyphweb.com/arda/h/houseofelrond.html
rohan	1	1	Rochann		http://www.glyphweb.com/arda/r/rochann.html
rohan	1	1	Mark		http://www.glyphweb.com/arda/m/mark.html
rudhras	1	1	Starkhorn	The mountain at Harrowdales head	http://www.glyphweb.com/arda/s/starkhorn.html
sarn-athrad	1	1	Sarn Athrad	The crossing-place of the River Gelion	http://www.glyphweb.com/arda/s/sarnathrad.html
sarn-gebir	1	1	Sarn Gebir	The rapids of Anduin	http://www.glyphweb.com/arda/s/sarngebir.html
sarnathrad	1	1	Sarn Ford	The crossing of the Baranduin to the south of the Shire	http://www.glyphweb.com/arda/s/sarnford.html
serni	1	1	Serni / River Serni	A minor river of southern Gondor	http://www.glyphweb.com/arda/s/serni.html
sir-celos	1	1	Kelos / Celos / River Celos	A river of eastern Gondor	http://www.glyphweb.com/arda/c/celos.html
sir-ninglor	1	1	Gladden River / Gladden	River of the Golden Flowers	http://www.glyphweb.com/arda/g/gladden.html
sir-ninglor	1	1	Ninglor / Sîr Ninglor	The Elves name for the Gladden River	http://www.glyphweb.com/arda/s/sirninglor.html
sirith	1	1	Sirith / River Sirith	The river that met the Anduin at Pelargir	http://www.glyphweb.com/arda/s/sirith.html
talf-tharn	1	1	Withered Heath	The dragons breeding-ground	http://www.glyphweb.com/arda/w/witheredheath.html
tharbad	1	1	Tharbad	The city at the crossings of Greyflood	http://www.glyphweb.com/arda/t/tharbad.html
tharbad	1	1	Bridge of Tharbad	The crossing of the Greyflood	http://www.glyphweb.com/arda/b/bridgeoftharbad.html
the-wold	1	1	The Wold		http://www.glyphweb.com/arda/w/wold.html
tol-brandir	1	1	Tindrock Isle / Tindrock	The steep-sided isle of Nen Hithoel	http://www.glyphweb.com/arda/t/tindrock.html
tol-brandir	1	1	Tol Brandir	The island known as the Tindrock	http://www.glyphweb.com/arda/t/tolbrandir.html
tolfalas	1	1	Tolfalas / Tol Falas	The island at the Mouths of Anduin	http://www.glyphweb.com/arda/t/tolfalas.html
uanlo	1	1	Ettenmoors	The empty moors north of Rivendell	http://www.glyphweb.com/arda/e/ettenmoors.html
uanlo	1	1	Troll-fells	The Ettenmoors north of Rivendell	http://www.glyphweb.com/arda/t/trollfells.html
uanlo	1	1	Ettendales	The troll-country north of Rivendell	http://www.glyphweb.com/arda/e/ettendales.html
udun	1	1	"Udún / Udûn, Name of Utumno"	Melkors ancient fortress in the far north of the World	http://www.glyphweb.com/arda/u/udun.html
udun	1	1	"Udún / Udûn, Valley in Mordor"	The valley behind the Gates of Mordor	http://www.glyphweb.com/arda/u/udunvalley.html
umbar	1	1	Umbar	The great haven far to the south of Gondor	http://www.glyphweb.com/arda/u/umbar.html
upbourn	1	1	Upbourn	A hamlet of Harrowdale	http://www.glyphweb.com/arda/u/upbourn.html
west-emnet	1	1	Westemnet	The western plain of Rohan	http://www.glyphweb.com/arda/w/westemnet.html
westfold	1	1	Westfold		http://www.glyphweb.com/arda/w/westfold.html
gondor	1	1	Stoningland		http://www.glyphweb.com/arda/s/stoningland.html
eryn-lasgalen	1	1	Woodland Realm		http://www.glyphweb.com/arda/w/woodlandrealm.html
mordor	1	1	Dark Country		http://www.glyphweb.com/arda/d/darkcountry.html
eastfold	1	1	East Dales		http://www.glyphweb.com/arda/e/eastdales.html
ennorath	1	1	Hither Shore		http://www.glyphweb.com/arda/h/hithershore.html
ardhon-iaur-arnor	1	1	North-kingdom		http://www.glyphweb.com/arda/n/northkingdom.html
caradhras	1	1	The Cruel		http://www.glyphweb.com/arda/c/cruel.html
ardhon-iaur-arnor	1	1	Arnor		http://www.glyphweb.com/arda/a/arnor.html
eastfold	1	1	Eastfold		http://www.glyphweb.com/arda/e/eastfold.html
minhiriath	1	1	Minhiriath		http://www.glyphweb.com/arda/m/minhiriath.html
ardhon-iaur-arnor	1	1	North-realm		http://www.glyphweb.com/arda/n/northrealm.html
mordor	1	1	Black Land		http://www.glyphweb.com/arda/b/blackland.html
anorien	1	1	Sunlending		http://www.glyphweb.com/arda/s/sunlending.html
lo-edrein	1	1	Fenmarch		http://www.glyphweb.com/arda/f/fenmarch.html
lothlorien	1	1	Lindórinand		http://www.glyphweb.com/arda/l/lindorinand.html
gondor	1	1	Southlands		http://www.glyphweb.com/arda/s/southlands.html
ennorath	1	1	Dark Lands		http://www.glyphweb.com/arda/d/darklands.html
rhun	1	1	Eastlands of Middle-earth		http://www.glyphweb.com/arda/e/eastlands.html
Rhovanion	1	1	The Wild		http://www.glyphweb.com/arda/w/wild.html
lothlorien	1	1	Lórinand		http://www.glyphweb.com/arda/l/lorinand.html
folde	1	1	Folde		http://www.glyphweb.com/arda/f/folde.html
gondor	1	1	Kingdom of the South		http://www.glyphweb.com/arda/k/kingdomofthesouth.html
ennorath	1	1	Great Lands		http://www.glyphweb.com/arda/g/greatlands.html
cirith-morgul	1	0	Morgul Pass	The main pass of the Ephel Dúath	http://www.glyphweb.com/arda/m/morgulpass.html
dol-baran	1	0	Dol Baran	Last of the southern foothills of the Misty Mountains	http://www.glyphweb.com/arda/d/dolbaran.html
emmynion-rhun-moria	1	0	East-gate of Moria	The eastern entrance to old Khazad-dûm	http://www.glyphweb.com/arda/e/eastgateofmoria.html
ennynion-rhun-moria	1	0	Dimrill Gate	The East-gate of Moria	http://www.glyphweb.com/arda/d/dimrillgate.html
ennynion-rhun-moria	1	0	Great Gates	The eastern entrance to Khazad-dûm	http://www.glyphweb.com/arda/g/greatgates.html
lanthir-rauros	1	0	Rauros	The falls beneath Nen Hithoel	http://www.glyphweb.com/arda/r/rauros.html
morgulduin	1	0	Morgulduin	The stream of Imlad Morgul	http://www.glyphweb.com/arda/m/morgulduin.html
moria	1	0	Dwarrowdelf	The Mannish name for Khazad-dûm	http://www.glyphweb.com/arda/d/dwarrowdelf.html
nan-curunir	1	0	Wizard's Vale	Nan Curunír in the Misty Mountains	http://www.glyphweb.com/arda/w/wizardsvale.html
needlehole	1	0	Needlehole	A village in the northwest of the Shire	http://www.glyphweb.com/arda/n/needlehole.html
orod-rerir	1	0	Rerir / Mount Rerir	The mountain above Lake Helevorn	http://www.glyphweb.com/arda/r/rerir.html
rath-dinen	1	0	Rath Dínen	The Silent Street	http://www.glyphweb.com/arda/r/rathdinen.html
rath-dinen	1	0	Silent Street	Minas Tiriths street of tombs	http://www.glyphweb.com/arda/s/silentstreet.html
rimmon	1	0	Rimmon	A region of the White Mountains	http://www.glyphweb.com/arda/r/rimmon.html
sirannon	1	0	Sirannon	The Gate-stream of Khazad-dûm	http://www.glyphweb.com/arda/s/sirannon.html
iorost	1	0	Aldburg	Historic home of Eorl the Young	http://www.glyphweb.com/arda/a/aldburg.html
minas-tirith	1	0	Amon Tirith	The Hill of Guard	http://www.glyphweb.com/arda/a/amontirith.html
	1	0	Archet	Forest village of Bree-land	http://www.glyphweb.com/arda/a/archet.html
	1	0	Bag End	The great smial beneath Hobbiton Hill	http://www.glyphweb.com/arda/b/bagend.html
	1	0	Bagshot Row	The row of smials beneath Bag End	http://www.glyphweb.com/arda/b/bagshotrow.html
	1	0	Bamfurlong	The home of Farmer Maggot	http://www.glyphweb.com/arda/b/bamfurlong.html
	1	0	Barrow-downs	The haunted hills of Tyrn Gorthad	http://www.glyphweb.com/arda/b/barrowdowns.html
	1	0	Barrowfield	The grave-ground of the Kings of Rohan	http://www.glyphweb.com/arda/b/barrowfield.html
	1	0	"Beacons of Gondor / Gondor, Beacons of"	The warning-fires of Minas Tirith	http://www.glyphweb.com/arda/b/beaconsofgondor.html
	1	0	Bindbole Wood	A northern wood of the Shire	http://www.glyphweb.com/arda/b/bindbolewood.html
	1	0	Blackroot Vale	The valley of the River Morthond	http://www.glyphweb.com/arda/b/blackrootvale.html
	1	0	Bonfire Glade	A burnt glade in the Old Forest	http://www.glyphweb.com/arda/b/bonfireglade.html
	1	0	Brandy Hall	The seat of the Brandybuck family	http://www.glyphweb.com/arda/b/brandyhall.html
	1	0	Bree-hill	The centrepoint of the Bree-land	http://www.glyphweb.com/arda/b/breehill.html
	1	0	Breredon	A village beyond the Hedge	http://www.glyphweb.com/arda/b/breredon.html
	1	0	Bridge of Khazad-dúm / Bridge of Khazad-dûm	The entranceway to the Second Hall	http://www.glyphweb.com/arda/b/bridgeofkhazaddum.html
	1	0	Brockenbores / Brockenborings	A settlement in the north of the Shire	http://www.glyphweb.com/arda/b/brockenbores.html
	1	0	Buck Hill	The hill that held Brandy Hall	http://www.glyphweb.com/arda/b/buckhill.html
	1	0	Buckland Gate	The North Gate of the Bucklanders	http://www.glyphweb.com/arda/b/bucklandgate.html
	1	0	Bucklebury	A village on the banks of the Brandywine	http://www.glyphweb.com/arda/b/bucklebury.html
	1	0	Bucklebury Ferry	The ferry across the Brandywine into Buckland	http://www.glyphweb.com/arda/b/buckleburyferry.html
	1	0	Budgeford	A town of the Shires Eastfarthing	http://www.glyphweb.com/arda/b/budgeford.html
	1	0	Bywater	The village by the Water	http://www.glyphweb.com/arda/b/bywater.html
	1	0	Bywater Road	The road to Bywater and beyond	http://www.glyphweb.com/arda/b/bywaterroad.html
