Canonical	Names	Description	Source	Link
emyn-lasgalen	Emyn-nu-Fuin	The Mountains of Mirkwood	Encyclopedia Arda	http://www.glyphweb.com/arda/e/emynnufuin.html
emyn-lasgalen	Emyn Duir		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Emyn_Duir
emyn-lasgalen	Emyn-nu-Fuin		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Emyn-nu-Fuin
emyn-lasgalen	Mountains of Mirkwood		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Mountains_of_Mirkwood
emyn-muil	Emyn Muil	The hill-range around Nen Hithoel	Encyclopedia Arda	http://www.glyphweb.com/arda/e/emynmuil.html
emyn-muil	Emyn Muil		The Thain's Book	http://www.tuckborough.net/hills.html#Emyn%20Muil
emyn-muil	Emyn Muil		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Emyn_Muil
emyn-nim	White Downs	The chalk downs of the Shires Westfarthing	Encyclopedia Arda	http://www.glyphweb.com/arda/w/whitedowns.html
emyn-nim	White Downs		The Thain's Book	http://www.tuckborough.net/hills.html#White%20Downs
emyn-nim	White Downs		Tolkien Gateway	http://www.tolkiengateway.net/wiki/White_Downs
emyn-ring	Coldfells	An upland region north of Rivendell	Encyclopedia Arda	http://www.glyphweb.com/arda/c/coldfells.html
emyn-ring	Ettenmoors		The Thain's Book	http://www.tuckborough.net/hills.html#Ettenmoors
emyn-ring	Coldfells		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Coldfells
emyn-sul	Weather Hills	The range of hills running north from Weathertop	Encyclopedia Arda	http://www.glyphweb.com/arda/w/weatherhills.html
emyn-sul	Weather Hills		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Weather_Hills
emyn-uial	Emyn Uial	The Hills of Evendim	Encyclopedia Arda	http://www.glyphweb.com/arda/e/emynuial.html
emyn-uial	Hills of Evendim	The twilight hills above Annúminas	Encyclopedia Arda	http://www.glyphweb.com/arda/h/hillsofevendim.html
emyn-uial	Hills of Evendim		The Thain's Book	http://www.tuckborough.net/hills.html#Hills-Evendim
emyn-uial	Emyn Uial		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Emyn_Uial
emyn-uial	Hills of Evendim		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Hills_of_Evendim
enchanted-river	Enchanted River		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Enchanted_River
enedwaith	Enedwaith		Encyclopedia Arda	http://www.glyphweb.com/arda/e/enedwaith.html
enedwaith	Enedwaith		The Thain's Book	http://www.tuckborough.net/lands.html#Enedwaith
enedwaith	Enedwaith		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Enedwaith
ennorath	Dark Lands		Encyclopedia Arda	http://www.glyphweb.com/arda/d/darklands.html
ennorath	Endor		Encyclopedia Arda	http://www.glyphweb.com/arda/e/endor.html
ennorath	Endóre	A very rare Quenya name for Middle-earth	Encyclopedia Arda	http://www.glyphweb.com/arda/e/endore.html
ennorath	Ennor		Encyclopedia Arda	http://www.glyphweb.com/arda/e/ennor.html
ennorath	Great Lands		Encyclopedia Arda	http://www.glyphweb.com/arda/g/greatlands.html
ennorath	Hither Lands		Encyclopedia Arda	http://www.glyphweb.com/arda/h/hitherlands.html
ennorath	Hither Shore		Encyclopedia Arda	http://www.glyphweb.com/arda/h/hithershore.html
ennorath	Middle-earth		Encyclopedia Arda	http://www.glyphweb.com/arda/m/middleearth.html
ennorath	"Westlands, Middle-earth"		Encyclopedia Arda	http://www.glyphweb.com/arda/w/westlands.html
ennorath	Endor		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Endor
ennorath	Great Lands		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Great_Lands
ennorath	Middle-earth		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Middle-earth
ennorath	Outer Lands		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Outer_Lands
ennyn-moria	Doors of Durin	The West-gate of Moria	Encyclopedia Arda	http://www.glyphweb.com/arda/d/doorsofdurin.html
ennyn-moria	Moria Gate	The doors of Khazad-dûm	Encyclopedia Arda	http://www.glyphweb.com/arda/m/moriagate.html
ennyn-moria	West-gate of Moria	The Doors of Durin	Encyclopedia Arda	http://www.glyphweb.com/arda/w/westgateofmoria.html
ennyn-moria	Doors of Durin		The Thain's Book	http://www.tuckborough.net/otherbuildings.html#Doors-of-Durin
ennyn-moria	Doors of Durin / Hollin Gate		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Doors_of_Durin
ennyn-moria	West-gate of Moria		Tolkien Gateway	http://www.tolkiengateway.net/wiki/West-gate_of_Moria
ennynion-rhun-moria	Moria Gate	The doors of Khazad-dûm	Encyclopedia Arda	http://www.glyphweb.com/arda/m/moriagate.html
ennynion-rhun-moria	Dimrill Gate	The East-gate of Moria	Encyclopedia Arda	http://www.glyphweb.com/arda/d/dimrillgate.html
ennynion-rhun-moria	Great Gates	The eastern entrance to Khazad-dûm	Encyclopedia Arda	http://www.glyphweb.com/arda/g/greatgates.html
eotheod	Éothéod		Encyclopedia Arda	http://www.glyphweb.com/arda/e/eotheod.html
ephel-duath	East-mountains	A name for the Ephel Dúath	Encyclopedia Arda	http://www.glyphweb.com/arda/e/eastmountains.html
ephel-duath	Ephel Dúath	The Mountains of Shadow on the borders of Mordor	Encyclopedia Arda	http://www.glyphweb.com/arda/e/ephelduath.html
ephel-duath	Mountains of Shadow (Ephel Dúath)	The western border of Mordor	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mountainsofshadow2.html
ephel-duath	Mountains of Shadow		The Thain's Book	http://www.tuckborough.net/mountains.html#Mts-Shadow
ephel-duath	Shadowy Mountains / Mountains of Shadow / Ephel Dúath		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Ephel_D%C3%BAath
erebor	Erebor	The Lonely Mountain	Encyclopedia Arda	http://www.glyphweb.com/arda/e/erebor.html
erebor	Kingdom under the Mountain	The Dwarf-kingdom of Erebor	Encyclopedia Arda	http://www.glyphweb.com/arda/k/kingdomunderthemountain.html
erebor	Lonely Mountain	The Dwarf-kingdom of Erebor	Encyclopedia Arda	http://www.glyphweb.com/arda/l/lonelymountain.html
erebor	Lonely Mountain		The Thain's Book	http://www.tuckborough.net/mountains.html#Lonely
erebor	Erebor / Lonely Mountain		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Erebor
erebor	Kingdom under the Mountain		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Kingdom_under_the_Mountain
erech	Erech	The hill at the head of the Blackroot Vale	Encyclopedia Arda	http://www.glyphweb.com/arda/e/erech.html
erech	Hill of Erech	The hill of the Black Stone	Encyclopedia Arda	http://www.glyphweb.com/arda/h/hilloferech.html
erech	Stone of Erech		Encyclopedia Arda	http://www.glyphweb.com/arda/s/stoneoferech.html
erech	Stone of Erech		The Thain's Book	http://www.tuckborough.net/otherbuildings.html#Erech
erech	Erech		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Erech
ered-angmar	Mountains of Angmar	The northernmost Misty Mountains	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mountainsofangmar.html
ered-angmar	Mountains of Angmar		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Mountains_of_Angmar
ered-echor	Encircling Mountains		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Encircling_Mountains
ered-engrin	Iron Hills	The northern range settled by Grór	Encyclopedia Arda	http://www.glyphweb.com/arda/i/ironhills.html
ered-engrin	Iron Hills		The Thain's Book	http://www.tuckborough.net/hills.html#Iron
ered-engrin	Ered Engrin / Iron Mountains		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Iron_Mountains
ered-engrin	Iron Hills		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Iron_Hills
ered-gorgoroth	Mountains of Terror	The Ered Gorgoroth	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mountainsofterror.html
ered-gorgoroth	Mountains of Terror		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Mountains_of_Terror
ered-gorgoroth	Mountains of the East / Ered Gorgoroth		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Ered_Gorgoroth
ered-lasgalen	Emyn Duir	The Dark Mountains of Greenwood the Great	Encyclopedia Arda	http://www.glyphweb.com/arda/e/emynduir.html
ered-lasgalen	"Emyn Duir / Emyn-nu-Fuin / Dark Mountains / Mountains of Mirkwood / Mirkwood, Mountains of"		The Thain's Book	http://www.tuckborough.net/mountains.html#Mountains%20of%20Mirkwood
ered-lindon	Blue Mountains	The northwestern mountain-chain of Middle-earth	Encyclopedia Arda	http://www.glyphweb.com/arda/b/bluemountains.html
ered-lindon	Ered Lindon	The mountain-borders of the Elf-kingdom of Lindon	Encyclopedia Arda	http://www.glyphweb.com/arda/e/eredlindon.html
ered-lindon	Ered Luin	The Blue Mountains	Encyclopedia Arda	http://www.glyphweb.com/arda/e/eredluin.html
ered-lindon	Mountains of Lune	The western edge of Eriador	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mountainsoflune.html
ered-lindon	Blue Mountains		The Thain's Book	http://www.tuckborough.net/mountains.html#Blue
ered-lindon	Blue Mountains / Mountains of Lune		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Blue_Mountains
ered-lindon	Ered Lindon		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Ered_Lindon
ered-lithui	Ash Mountains	The range that formed Mordors northern border	Encyclopedia Arda	http://www.glyphweb.com/arda/a/ashmountains.html
ered-lithui	Ashen Mountains	The northern fences of Mordor	Encyclopedia Arda	http://www.glyphweb.com/arda/a/ashenmountains.html
ered-lithui	Ered Lithui	The Ashen Mountains north of Mordor	Encyclopedia Arda	http://www.glyphweb.com/arda/e/eredlithui.html
ered-lithui	Ash Mountains		The Thain's Book	http://www.tuckborough.net/mountains.html#Ash
ered-lithui	Ash Mountains		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Ash_Mountains
ered-lithui	Ered Lithui		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Ered_Lithui
ered-mithrin	Ered Mithrin	The Elvish name for the Grey Mountains	Encyclopedia Arda	http://www.glyphweb.com/arda/e/eredmithrin.html
ered-mithrin	Grey Mountains	A mountain-range of northern Middle-earth	Encyclopedia Arda	http://www.glyphweb.com/arda/g/greymountains.html
ered-mithrin	Ered Mithrin / Grey Mountains		The Thain's Book	http://www.tuckborough.net/mountains.html#Grey%20Mountains
ered-mithrin	Grey Mountains / Ered Mithrin		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Grey_Mountains
ered-moria	Mountains of Moria	The three peaks above old Khazad-dûm	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mountainsofmoria.html
ered-moria	Cloudyhead		The Thain's Book	http://www.tuckborough.net/mountains.html#Cloudyhead
ered-moria	Redhorn (Caradhras)		The Thain's Book	http://www.tuckborough.net/mountains.html#Redhorn
ered-moria	Silvertine (Zirak-zigil)		The Thain's Book	http://www.tuckborough.net/mountains.html#Silvertine
ered-nimrais	Ered Nimrais	The Elvish name for the White Mountains	Encyclopedia Arda	http://www.glyphweb.com/arda/e/erednimrais.html
ered-nimrais	White Mountains	The snow-capped peaks that separated Gondor from Rohan	Encyclopedia Arda	http://www.glyphweb.com/arda/w/whitemountains.html
ered-nimrais	White Mountains		The Thain's Book	http://www.tuckborough.net/mountains.html#White
ered-nimrais	White Mountains / Ered Nimrais		Tolkien Gateway	http://www.tolkiengateway.net/wiki/White_Mountains
ered-wethrin	Ered Wethrin	The Mountains of Shadow	Encyclopedia Arda	http://www.glyphweb.com/arda/e/eredwethrin.html
ered-wethrin	Mountains of Shadow / Ered Wethrin / Mountains of Shadow (Ered Wethrin)	The northern range of the Ered Wethrin	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mountainsofshadow.html
ered-wethrin	Ered Wethrin		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Ered_Wethrin
eregion	Eregion		Encyclopedia Arda	http://www.glyphweb.com/arda/e/eregion.html
eregion	Hollin		Encyclopedia Arda	http://www.glyphweb.com/arda/h/hollin.html
eregion	Eregion (Hollin)		The Thain's Book	http://www.tuckborough.net/lands.html#Eregion
eregion	Eregion		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Eregion
eregion	Hollin		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Hollin
erelas	Erelas	The fourth Beacon	Encyclopedia Arda	http://www.glyphweb.com/arda/e/erelas.html
erelas	Erelas:		The Thain's Book	http://www.tuckborough.net/hills.html#Erelas
erelas	Erelas		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Erelas
eriador	Eriador		Encyclopedia Arda	http://www.glyphweb.com/arda/e/eriador.html
eriador	Lone-lands		Encyclopedia Arda	http://www.glyphweb.com/arda/l/lonelands.html
eriador	Eriador		The Thain's Book	http://www.tuckborough.net/eriador.html
eriador	Lone-lands		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Lone-lands
eriador	Northerland / Eriador		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Eriador
eriador	Westlands		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Westlands
erui	Erui / River Erui	The river that flowed out of Lossarnach	Encyclopedia Arda	http://www.glyphweb.com/arda/e/erui.html
erui	Erui		The Thain's Book	http://www.tuckborough.net/rivers.html#Erui
erui	Erui		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Erui
eryn-druadan	Drúadan Forest	The forest beneath the Eilenach Beacon	Encyclopedia Arda	http://www.glyphweb.com/arda/d/druadanforest.html
eryn-druadan	Tawar-in-Drúedain	The Drúadan Forest	Encyclopedia Arda	http://www.glyphweb.com/arda/t/tawarindruedain.html
eryn-druadan	Drúadan Forest		The Thain's Book	http://www.tuckborough.net/forests.html#Drúadan
eryn-druadan	Drúadan Forest		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Dr%C3%BAadan_Forest
eryn-firien	Firien Wood	The mountain-wood beneath Halifirien	Encyclopedia Arda	http://www.glyphweb.com/arda/f/firienwood.html
eryn-firien	Firienholt	The wood beneath the Halifirien	Encyclopedia Arda	http://www.glyphweb.com/arda/f/firienholt.html
eryn-firien	Halifirien Wood	The forest beneath the Halifirien	Encyclopedia Arda	http://www.glyphweb.com/arda/h/halifirienwood.html
eryn-firien	Firien Wood		The Thain's Book	http://www.tuckborough.net/forests.html#Firien
eryn-firien	Firien Wood		The Thain's Book	http://www.tuckborough.net/forests.html#Firien
eryn-firien	Firienholt / Firien Wood		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Firienholt
eryn-iaur	Old Forest	A strange northern remnant of the great forest of the Second Age	Encyclopedia Arda	http://www.glyphweb.com/arda/o/oldforest.html
eryn-iaur	Old Forest		The Thain's Book	http://www.tuckborough.net/forests.html#Old%20Forest
eryn-iaur	Old Forest		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Old_Forest
eryn-lasgalen	Dark Mountains	An old name for the Mountains of Mirkwood	Encyclopedia Arda	http://www.glyphweb.com/arda/d/darkmountains.html
eryn-lasgalen	Eryn Galen	The Greenwood	Encyclopedia Arda	http://www.glyphweb.com/arda/e/eryngalen.html
eryn-lasgalen	Eryn Lasgalen	The Wood of Greenleaves	Encyclopedia Arda	http://www.glyphweb.com/arda/e/erynlasgalen.html
eryn-lasgalen	Greenwood the Great	The former name of Mirkwood	Encyclopedia Arda	http://www.glyphweb.com/arda/g/greenwoodthegreat.html
eryn-lasgalen	Mirkwood	Greatest of the forests of Middle-earth	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mirkwood.html
eryn-lasgalen	Mountains of Mirkwood	The central highlands of Middle-earths greatest forest	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mountainsofmirkwood.html
eryn-lasgalen	Taur-e-Ndaedelos	The Forest of the Great Fear	Encyclopedia Arda	http://www.glyphweb.com/arda/t/taurendaedelos.html
eryn-lasgalen	"Taur-nu-Fuin / Taur-nu-Fuin, Dorthonion"	The Forest under Nightshade	Encyclopedia Arda	http://www.glyphweb.com/arda/t/taurnufuin.html
eryn-lasgalen	"Taur-nu-Fuin / Taur-nu-Fuin, Mirkwood"	The Elves name for Mirkwood	Encyclopedia Arda	http://www.glyphweb.com/arda/t/taurnufuin2.html
eryn-lasgalen	The Forest / Forest	A term sometimes used for Mirkwood	Encyclopedia Arda	http://www.glyphweb.com/arda/f/forest.html
eryn-lasgalen	The Wood / Wood	The greatest of Middle-earths forests	Encyclopedia Arda	http://www.glyphweb.com/arda/w/wood.html
eryn-lasgalen	Wood of Greenleaves	Eryn Lasgalen	Encyclopedia Arda	http://www.glyphweb.com/arda/w/woodofgreenleaves.html
eryn-lasgalen	Woodland Realm		Encyclopedia Arda	http://www.glyphweb.com/arda/w/woodlandrealm.html
eryn-lasgalen	Mirkwood / Eryn Galen / Taur-nu-Fuin / Eryn Lasgalen / Woodland Realm / Taur-e-Ndaedelos / Greenwood the Great / Wood of Green Leaves		The Thain's Book	http://www.tuckborough.net/mirkwood.html
eryn-lasgalen	Eryn Galen		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Eryn_Galen
eryn-lasgalen	Greenwood the Great / Eryn Vorn		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Greenwood_the_Great
eryn-lasgalen	Mirkwood / Taur e-Ndaedelos		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Mirkwood
eryn-mithrin	Grey Wood	The forest beneath Amon Dín	Encyclopedia Arda	http://www.glyphweb.com/arda/g/greywood.html
eryn-mithrin	Drúadan Forest		The Thain's Book	http://www.tuckborough.net/forests.html#Drúadan
eryn-mithrin	Grey Wood		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Grey_Wood
eryn-teryg	Trollshaws	The Troll-woods west of Rivendell	Encyclopedia Arda	http://www.glyphweb.com/arda/t/trollshaws.html
eryn-teryg	Trollshaws		The Thain's Book	http://www.tuckborough.net/forests.html#Trollshaws
eryn-teryg	Trollshaws		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Trollshaws
eryn-uireb	Everholt	The boar-wood beneath the Halifirien	Encyclopedia Arda	http://www.glyphweb.com/arda/e/everholt.html
eryn-uireb	Everholt		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Everholt
eryn-vorn	Eryn Vorn	The wooded cape beneath the mouths of Baranduin	Encyclopedia Arda	http://www.glyphweb.com/arda/e/erynvorn.html
eryn-vorn	Eryn Vorn		The Thain's Book	http://www.tuckborough.net/forests.html#Eryn-Vorn
eryn-vorn	Greenwood the Great / Eryn Vorn		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Greenwood_the_Great
eryn-wethrin	Dimholt	The dark wood beneath the Dwimorberg	Encyclopedia Arda	http://www.glyphweb.com/arda/d/dimholt.html
eryn-wethrin	Dimholt		The Thain's Book	http://www.tuckborough.net/forests.html#Dimholt
eryn-wethrin	Dimholt		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Dimholt
eryndaur	Chetwood	The wood of the Bree-land	Encyclopedia Arda	http://www.glyphweb.com/arda/c/chetwood.html
eryndaur	Chetwood		The Thain's Book	http://www.tuckborough.net/forests.html#Chetwood
eryndaur	Chetwood		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Chetwood
erynduin	Forest River	The river of northern Mirkwood	Encyclopedia Arda	http://www.glyphweb.com/arda/f/forestriver.html
erynduin	Forest River		The Thain's Book	http://www.tuckborough.net/rivers.html#Forest%20River
erynduin	Forest River		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Forest_River
erynrath	Forest Road	The road that ran through Mirkwood	Encyclopedia Arda	http://www.glyphweb.com/arda/f/forestroad.html
esgaroth	Esgaroth	A township on the shores of the Long Lake	Encyclopedia Arda	http://www.glyphweb.com/arda/e/esgaroth.html
esgaroth	Lake-town	A township of Men on the Long Lake	Encyclopedia Arda	http://www.glyphweb.com/arda/l/laketown.html
esgaroth	Lake-town (Esgaroth)		The Thain's Book	http://www.tuckborough.net/towns.html#Lake-town
esgaroth	Lake-town / Esgaroth		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Esgaroth
ethir	Ethir	The land at the Mouths of Anduin	Encyclopedia Arda	http://www.glyphweb.com/arda/e/ethir.html
ethir-anduin	Ethir Anduin	The estuary of the Great River Anduin	Encyclopedia Arda	http://www.glyphweb.com/arda/e/ethiranduin.html
ethir-anduin	Mouths of Anduin	The wide estuary region known as the Ethir	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mouthsofanduin.html
ethir-anduin	"Anduin, The Great River"		The Thain's Book	http://www.tuckborough.net/rivers.html#Anduin
ethir-anduin	Ethir Anduin / Mouths of Anduin		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Ethir_Anduin
ethir-onodlo	Mouths of Entwash	The wetlands of the Entwash delta	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mouthsofentwash.html
ethir-onodlo	Mouths of Onodló	The delta of the River Entwash	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mouthsofonodlo.html
ethir-onodlo	Mouths of Entwash		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Mouths_of_Entwash
ethir-rivil	Rivil's Well	The source of the River Rivil	Encyclopedia Arda	http://www.glyphweb.com/arda/r/rivilswell.html
ethir-sirion	Mouths of Sirion	Haven of the Exiles of Gondolin	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mouthsofsirion.html
ethir-sirion	Havens of Sirion / Mouths of Sirion		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Mouths_of_the_Sirion
ethraid-erui	Crossings of Erui	The place of Eldacars revenge	Encyclopedia Arda	http://www.glyphweb.com/arda/c/crossingsoferui.html
ethraid-erui	Erui		The Thain's Book	http://www.tuckborough.net/rivers.html#Erui
ethraid-poros	Crossing of Poros / Crossings of Poros	The ford that led into South Gondor	Encyclopedia Arda	http://www.glyphweb.com/arda/c/crossingsofporos.html
ethraid-poros	Fords of Poros	The gateway to Ithilien	Encyclopedia Arda	http://www.glyphweb.com/arda/f/fordsofporos.html
ethraid-poros	Poros		The Thain's Book	http://www.tuckborough.net/rivers.html#Poros
ethraid-teiglin	Crossings of Teiglin	The river-crossing under the eaves of Brethil	Encyclopedia Arda	http://www.glyphweb.com/arda/c/crossingsofteiglin.html
ethring	Ethring	The township below the wells of Ringló	Encyclopedia Arda	http://www.glyphweb.com/arda/e/ethring.html
ethring	Ethring		The Thain's Book	http://www.tuckborough.net/towns.html#Ethring
ethring	Ethring		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Ethring
ezellohar	Ezellohar		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Ezellohar
falas	Havens of the Falas	The sea-cities of Círdan	Encyclopedia Arda	http://www.glyphweb.com/arda/h/havens.html
falas	The Falas		Encyclopedia Arda	http://www.glyphweb.com/arda/f/falas.html
falas	Falas		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Falas
fangorn	Aldalómë	A name for Fangorn Forest	Encyclopedia Arda	http://www.glyphweb.com/arda/a/aldalome.html
fangorn	Ambaróna	An ancient name for Fangorn Forest	Encyclopedia Arda	http://www.glyphweb.com/arda/a/ambarona.html
fangorn	East End	An old name for Fangorn Forest	Encyclopedia Arda	http://www.glyphweb.com/arda/e/eastend.html
fangorn	Entwood	A name among Men for the Forest of Fangorn	Encyclopedia Arda	http://www.glyphweb.com/arda/e/entwood.html
fangorn	Fangorn Forest	Last home of the Ents in the West of Middle-earth	Encyclopedia Arda	http://www.glyphweb.com/arda/f/fangornforest.html
fangorn	Forest of Fangorn	The ancient forest beneath the southern Misty Mountains	Encyclopedia Arda	http://www.glyphweb.com/arda/f/forestoffangorn.html
fangorn	Tauremorna	The Forest of Fangorn	Encyclopedia Arda	http://www.glyphweb.com/arda/t/tauremorna.html
fangorn	Ent-houses		Encyclopedia Arda	http://www.glyphweb.com/arda/e/enthouses.html
fangorn	Aldalómë		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Aldal%C3%B3m%C3%AB
fangorn	Ambaróna		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Ambar%C3%B3na
fangorn	Eastwood / Fangorn Forest		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Fangorn_Forest
fangorn	Entwood		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Entwood
fanuidhol	Bundushathúr / Bundushathûr	The mountain the Elves called Fanuidhol	Encyclopedia Arda	http://www.glyphweb.com/arda/b/bundushathur.html
fanuidhol	Cloudyhead	The mountain named Fanuidhol	Encyclopedia Arda	http://www.glyphweb.com/arda/c/cloudyhead.html
fanuidhol	Fanuidhol	Cloudyhead	Encyclopedia Arda	http://www.glyphweb.com/arda/f/fanuidhol.html
fanuidhol	Shathúr / Shathûr	A Dwarvish name for the mountain Fanuidhol	Encyclopedia Arda	http://www.glyphweb.com/arda/s/shathur.html
fanuidhol	Cloudyhead		The Thain's Book	http://www.tuckborough.net/mountains.html#Cloudyhead
fanuidhol	Bundushathûr / Bandushathûr		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Bundushath%C3%BBr
fanuidhol	Cloudyhead		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Cloudyhead
fanuidhol	Fanuidhol		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Fanuidhol
far-harad	Far Harad		Encyclopedia Arda	http://www.glyphweb.com/arda/f/farharad.html
far-harad	Far Harad		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Far_Harad
farthings	Farthings		Encyclopedia Arda	http://www.glyphweb.com/arda/f/farthings.html
farthings	Four Farthings		Encyclopedia Arda	http://www.glyphweb.com/arda/f/fourfarthings.html
fen-hollen	Fen Hollen	The Closed Door	Encyclopedia Arda	http://www.glyphweb.com/arda/f/fenhollen.html
fen-hollen	Fen Hollen		The Thain's Book	http://www.tuckborough.net/otherbuildings.html#Fen_Hollen
fen-hollen	Fen Hollen / Steward's Door		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Fen_Hollen
firien-dale	Firien-dale	The valley beneath Halifirien	Encyclopedia Arda	http://www.glyphweb.com/arda/f/firiendale.html
firien-dale	Firien-dale		The Thain's Book	http://www.tuckborough.net/valleys.html#Firien-dale
firienfeld	Firienfeld	The mountain-field of Dunharrow	Encyclopedia Arda	http://www.glyphweb.com/arda/f/firienfield.html
firienfeld	Firienfeld		The Thain's Book	http://www.tuckborough.net/plains.html#Firienfeld
first-hall	First Hall		Tolkien Gateway	http://www.tolkiengateway.net/wiki/First_Hall
floating-log	Floating Log	The inn at Frogmorton	Encyclopedia Arda	http://www.glyphweb.com/arda/f/floatinglog.html
floating-log	Floating Log		The Thain's Book	http://www.tuckborough.net/pubbldg.html#Floating%20Log
folde	Folde		Encyclopedia Arda	http://www.glyphweb.com/arda/f/folde.html
folde	Folde		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Folde
forannon	North Gate	The Hay Gate of Buckland	Encyclopedia Arda	http://www.glyphweb.com/arda/n/northgate.html
forannon	North Gate		Tolkien Gateway	http://www.tolkiengateway.net/wiki/North_Gate
forithilien	North Ithilien		Encyclopedia Arda	http://www.glyphweb.com/arda/n/northithilien.html
forithilien	Ithilien / South Ithilien / North Ithilien		The Thain's Book	http://www.tuckborough.net/ithilien.html
forithilien	North Ithilien		Tolkien Gateway	http://www.tolkiengateway.net/wiki/North_Ithilien
forlindon	Forlindon		Encyclopedia Arda	http://www.glyphweb.com/arda/f/forlindon.html
forlindon	Lindon		The Thain's Book	http://www.tuckborough.net/lands.html#Lindon
forlindon	Forlindon		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Forlindon
forlond	Forlond	A harbour of the Elves of Lindon	Encyclopedia Arda	http://www.glyphweb.com/arda/f/forlond.html
forlond	Gulf of Lune		The Thain's Book	http://www.tuckborough.net/coastal.html#Gulf-of-Lune
forlond	Forlond		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Forlond
